MODALIDAD,TIPO,SUBTIPO
DELITOS PATRIMONIALES,DAÑO EN PROPIEDAD AJENA,DAÑO EN PROPIEDAD AJENA
DELITOS PATRIMONIALES,DESPOJO,CON VIOLENCIA
DELITOS PATRIMONIALES,DESPOJO,SIN VIOLENCIA
DELITOS PATRIMONIALES,DESPOJO,SIN DATOS
HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO
HOMICIDIOS,DOLOSOS,CON ARMA BLANCA
HOMICIDIOS,DOLOSOS,OTROS
HOMICIDIOS,DOLOSOS,SIN DATOS
HOMICIDIOS,CULPOSOS,CON ARMA DE FUEGO
HOMICIDIOS,CULPOSOS,CON ARMA BLANCA
HOMICIDIOS,CULPOSOS,OTROS
LESIONES,CULPOSAS,OTROS
LESIONES,CULPOSAS,SIN DATOS
PRIV. DE LA LIBERTAD (SECUESTRO),SECUESTRO,SECUESTRO
ROBO COMUN,CON VIOLENCIA,A CASA HABITACION
ROBO COMUN,CON VIOLENCIA,A NEGOCIO
ROBO COMUN,CON VIOLENCIA,DE VEHICULOS
ROBO COMUN,CON VIOLENCIA,A TRANSPORTISTAS
ROBO COMUN,CON VIOLENCIA,A TRANSEUNTES
ROBO COMUN,CON VIOLENCIA,OTROS
ROBO COMUN,CON VIOLENCIA,SIN DATOS
ROBO COMUN,SIN VIOLENCIA,A CASA HABITACION
ROBO COMUN,SIN VIOLENCIA,A NEGOCIO
ROBO COMUN,SIN VIOLENCIA,DE VEHICULOS
ROBO COMUN,SIN VIOLENCIA,A TRANSPORTISTAS
ROBO COMUN,SIN VIOLENCIA,A TRANSEUNTES
ROBO COMUN,SIN VIOLENCIA,OTROS
ROBO COMUN,SIN VIOLENCIA,SIN DATOS
ROBO DE GANADO (ABIGEATO),ABIGEATO,ABIGEATO
ROBO EN INSTITUCIONES BANCARIAS,CON VIOLENCIA,A BANCOS
ROBO EN INSTITUCIONES BANCARIAS,CON VIOLENCIA,A CASA DE BOLSA
ROBO EN INSTITUCIONES BANCARIAS,CON VIOLENCIA,A CASA DE CAMBIO
ROBO EN INSTITUCIONES BANCARIAS,CON VIOLENCIA,A EMPRESA DE TRASLADO DE VALORES
ROBO EN INSTITUCIONES BANCARIAS,CON VIOLENCIA,OTROS
ROBO EN INSTITUCIONES BANCARIAS,CON VIOLENCIA,SIN DATOS
ROBO EN INSTITUCIONES BANCARIAS,SIN VIOLENCIA,A BANCOS
ROBO EN INSTITUCIONES BANCARIAS,SIN VIOLENCIA,A CASA DE BOLSA
ROBO EN INSTITUCIONES BANCARIAS,SIN VIOLENCIA,A CASA DE CAMBIO
ROBO EN INSTITUCIONES BANCARIAS,SIN VIOLENCIA,A EMPRESA DE TRASLADO DE VALORES
ROBO EN INSTITUCIONES BANCARIAS,SIN VIOLENCIA,OTROS
ROBO EN INSTITUCIONES BANCARIAS,SIN VIOLENCIA,SIN DATOS
ROBO EN CARRETERAS,CON VIOLENCIA,A CAMIONES DE CARGA
ROBO EN CARRETERAS,CON VIOLENCIA,A AUTOBUSES
ROBO EN CARRETERAS,CON VIOLENCIA,A VEHICULOS PARTICULARES
ROBO EN CARRETERAS,CON VIOLENCIA,OTROS
ROBO EN CARRETERAS,CON VIOLENCIA,SIN DATOS
ROBO EN CARRETERAS,SIN VIOLENCIA,A CAMIONES DE CARGA
ROBO EN CARRETERAS,SIN VIOLENCIA,A AUTOBUSES
ROBO EN CARRETERAS,SIN VIOLENCIA,A VEHICULOS PARTICULARES
ROBO EN CARRETERAS,SIN VIOLENCIA,OTROS
ROBO EN CARRETERAS,SIN VIOLENCIA,SIN DATOS
HOMICIDIOS,CULPOSOS,SIN DATOS
LESIONES,DOLOSAS,CON ARMA BLANCA
LESIONES,DOLOSAS,CON ARMA DE FUEGO
LESIONES,DOLOSAS,OTROS
LESIONES,DOLOSAS,SIN DATOS
LESIONES,CULPOSAS,CON ARMA BLANCA
LESIONES,CULPOSAS,CON ARMA DE FUEGO
