año,entidad,mes,eventos
1997,aguascalientes,abril,737.0
1997,aguascalientes,agosto,502.0
1997,aguascalientes,diciembre,516.0
1997,aguascalientes,enero,737.0
1997,aguascalientes,febrero,737.0
1997,aguascalientes,julio,630.0
1997,aguascalientes,junio,737.0
1997,aguascalientes,marzo,737.0
1997,aguascalientes,mayo,737.0
1997,aguascalientes,noviembre,401.0
1997,aguascalientes,octubre,381.0
1997,aguascalientes,septiembre,404.0
1997,baja california,abril,8118.0
1997,baja california,agosto,8451.0
1997,baja california,diciembre,8429.0
1997,baja california,enero,7569.0
1997,baja california,febrero,7486.0
1997,baja california,julio,8245.0
1997,baja california,junio,8086.0
1997,baja california,marzo,8060.0
1997,baja california,mayo,8216.0
1997,baja california,noviembre,7853.0
1997,baja california,octubre,8692.0
1997,baja california,septiembre,8554.0
1997,baja california sur,abril,688.0
1997,baja california sur,agosto,737.0
1997,baja california sur,diciembre,725.0
1997,baja california sur,enero,617.0
1997,baja california sur,febrero,637.0
1997,baja california sur,julio,763.0
1997,baja california sur,junio,676.0
1997,baja california sur,marzo,649.0
1997,baja california sur,mayo,663.0
1997,baja california sur,noviembre,714.0
1997,baja california sur,octubre,726.0
1997,baja california sur,septiembre,759.0
1997,campeche,abril,597.0
1997,campeche,agosto,517.0
1997,campeche,diciembre,484.0
1997,campeche,enero,540.0
1997,campeche,febrero,499.0
1997,campeche,julio,595.0
1997,campeche,junio,585.0
1997,campeche,marzo,578.0
1997,campeche,mayo,549.0
1997,campeche,noviembre,575.0
1997,campeche,octubre,513.0
1997,campeche,septiembre,464.0
1997,chiapas,abril,1610.0
1997,chiapas,agosto,181.0
1997,chiapas,diciembre,1301.0
1997,chiapas,enero,1684.0
1997,chiapas,febrero,1571.0
1997,chiapas,julio,1559.0
1997,chiapas,junio,1702.0
1997,chiapas,marzo,1654.0
1997,chiapas,mayo,1669.0
1997,chiapas,noviembre,1329.0
1997,chiapas,octubre,1363.0
1997,chiapas,septiembre,1414.0
1997,chihuahua,abril,4444.0
1997,chihuahua,agosto,4436.0
1997,chihuahua,diciembre,4245.0
1997,chihuahua,enero,4563.0
1997,chihuahua,febrero,4161.0
1997,chihuahua,julio,4522.0
1997,chihuahua,junio,4581.0
1997,chihuahua,marzo,4578.0
1997,chihuahua,mayo,4686.0
1997,chihuahua,noviembre,4259.0
1997,chihuahua,octubre,4396.0
1997,chihuahua,septiembre,4592.0
1997,ciudad de mexico,abril,13713.0
1997,ciudad de mexico,agosto,14089.0
1997,ciudad de mexico,diciembre,14511.0
1997,ciudad de mexico,enero,13292.0
1997,ciudad de mexico,febrero,12864.0
1997,ciudad de mexico,julio,14440.0
1997,ciudad de mexico,junio,14133.0
1997,ciudad de mexico,marzo,13617.0
1997,ciudad de mexico,mayo,14203.0
1997,ciudad de mexico,noviembre,14570.0
1997,ciudad de mexico,octubre,15132.0
1997,ciudad de mexico,septiembre,13794.0
1997,coahuila,abril,1820.0
1997,coahuila,agosto,1414.0
1997,coahuila,diciembre,951.0
1997,coahuila,enero,1708.0
1997,coahuila,febrero,1457.0
1997,coahuila,julio,1754.0
1997,coahuila,junio,1590.0
1997,coahuila,marzo,1430.0
1997,coahuila,mayo,1564.0
1997,coahuila,noviembre,1015.0
1997,coahuila,octubre,1481.0
1997,coahuila,septiembre,1291.0
1997,colima,abril,656.0
1997,colima,agosto,613.0
1997,colima,diciembre,585.0
1997,colima,enero,695.0
1997,colima,febrero,673.0
1997,colima,julio,660.0
1997,colima,junio,586.0
1997,colima,marzo,667.0
1997,colima,mayo,637.0
1997,colima,noviembre,624.0
1997,colima,octubre,635.0
1997,colima,septiembre,606.0
1997,durango,abril,407.0
1997,durango,agosto,513.0
1997,durango,diciembre,619.0
1997,durango,enero,378.0
1997,durango,febrero,255.0
1997,durango,julio,513.0
1997,durango,junio,381.0
1997,durango,marzo,400.0
1997,durango,mayo,467.0
1997,durango,noviembre,471.0
1997,durango,octubre,436.0
1997,durango,septiembre,409.0
1997,guanajuato,abril,2901.0
1997,guanajuato,agosto,2608.0
1997,guanajuato,diciembre,2762.0
1997,guanajuato,enero,2846.0
1997,guanajuato,febrero,2729.0
1997,guanajuato,julio,2514.0
1997,guanajuato,junio,2743.0
1997,guanajuato,marzo,2645.0
1997,guanajuato,mayo,2793.0
1997,guanajuato,noviembre,2549.0
1997,guanajuato,octubre,2768.0
1997,guanajuato,septiembre,2695.0
1997,guerrero,abril,1570.0
1997,guerrero,agosto,1194.0
1997,guerrero,diciembre,1343.0
1997,guerrero,enero,1569.0
1997,guerrero,febrero,1569.0
1997,guerrero,julio,1615.0
1997,guerrero,junio,1567.0
1997,guerrero,marzo,1570.0
1997,guerrero,mayo,1569.0
1997,guerrero,noviembre,1701.0
1997,guerrero,octubre,1522.0
